Sample	FastQC_mqc-generalstats-fastqc-percent_duplicates	FastQC_mqc-generalstats-fastqc-percent_gc	FastQC_mqc-generalstats-fastqc-avg_sequence_length	FastQC_mqc-generalstats-fastqc-percent_fails	FastQC_mqc-generalstats-fastqc-total_sequences
PDAC202T_F8-9_R1	48.38943162444254	49.0	75.0	0.0	47398615.0
PDAC202T_F8-9_R2	50.74891953508104	49.0	75.0	9.090909090909092	47398615.0
PDAC202T_F8-9r_R1	47.44722243403624	48.0	75.0	0.0	46167200.0
PDAC202T_F8-9r_R2	49.81401049702192	48.0	75.0	0.0	46167200.0
PDAC202T_F8-9rft_R1	55.13347021675698	48.0	51.0	9.090909090909092	46167200.0
PDAC202T_F8-9rft_R2	51.98220584853457	48.0	51.0	9.090909090909092	46167200.0
PDAC202T_F8-9rkf_R1	47.41963095693531	48.0	75.0	0.0	46127128.0
PDAC202T_F8-9rkf_R2	49.81089197916949	48.0	75.0	0.0	46127128.0
PDAC202T_R1	59.54336428365202	48.0	75.0	9.090909090909092	110213236.0
PDAC202T_R2	59.66038502925294	48.0	75.0	9.090909090909092	110213236.0
PDAC202Tr_R1	54.893272162162745	47.0	75.0	9.090909090909092	96966026.0
PDAC202Tr_R2	55.18186105250113	47.0	75.0	9.090909090909092	96966026.0
PDAC202Trft_R1	61.46336319885578	46.0	51.0	9.090909090909092	96966026.0
PDAC202Trft_R2	57.46107848470491	47.0	51.0	9.090909090909092	96966026.0
PDAC202Trkf_R1	54.633294054132165	47.0	75.0	9.090909090909092	96385342.0
PDAC202Trkf_R2	54.977491234447	47.0	75.0	18.181818181818183	96385342.0
PDAC217T_F8-9_R1	78.04399063036107	59.0	75.0	27.27272727272727	58290655.0
PDAC217T_F8-9_R2	77.76717586671342	59.0	75.0	18.181818181818183	58290655.0
PDAC217T_F8-9r_R1	61.902918741137746	53.0	75.0	27.27272727272727	31180978.0
PDAC217T_F8-9r_R2	62.12369545500374	53.0	75.0	36.36363636363637	31180978.0
PDAC217T_F8-9rft_R1	67.25281304836437	53.0	51.0	18.181818181818183	31180978.0
PDAC217T_F8-9rft_R2	64.80780440756894	53.0	51.0	27.27272727272727	31180978.0
PDAC217T_F8-9rkf_R1	58.97915085204058	54.0	75.0	18.181818181818183	28900858.0
PDAC217T_F8-9rkf_R2	59.59374751503624	54.0	75.0	9.090909090909092	28900858.0
PDAC217T_R1	71.78043642553045	55.0	75.0	18.181818181818183	91793911.0
PDAC217T_R2	71.65533274435477	55.0	75.0	18.181818181818183	91793911.0
PDAC217Tr_R1	63.355663575873045	51.0	75.0	27.27272727272727	68410888.0
PDAC217Tr_R2	63.492761022740765	52.0	75.0	18.181818181818183	68410888.0
PDAC217Trft_R1	68.73012126106559	51.0	51.0	27.27272727272727	68410888.0
PDAC217Trft_R2	65.956484447409	52.0	51.0	27.27272727272727	68410888.0
PDAC217Trkf_R1	62.23510019301936	52.0	75.0	18.181818181818183	66290093.0
PDAC217Trkf_R2	62.47418833774864	52.0	75.0	18.181818181818183	66290093.0
