#File	/home/jacobo/Documents/02_TRANSDUCER/02_Raw_data/02_rRNA_removal_and_Trimming_check/02_Output/sortmerna/out/rRNAfree/PDAC202Tr_R1.fastq	/home/jacobo/Documents/02_TRANSDUCER/02_Raw_data/02_rRNA_removal_and_Trimming_check/02_Output/sortmerna/out/rRNAfree/PDAC202Tr_R2.fastq
#Total	193932052
#Matched	1135266	0.58539%
#Name	Reads	ReadsPct
TruSeq_Universal_Adapter	559036	0.28826%
Reverse_adapter	557273	0.28735%
pcr_dimer	5705	0.00294%
TruSeq_Adapter_Index_11	4298	0.00222%
PCR_Primers	3666	0.00189%
I5_Primer_Nextera_XT_and_Nextera_Enrichment_[N/S/E]502	1328	0.00068%
TruSeq_Adapter_Index_6	1121	0.00058%
PhiX_read2_adapter	592	0.00031%
I5_Primer_Nextera_XT_and_Nextera_Enrichment_[N/S/E]504	515	0.00027%
I5_Primer_Nextera_XT_and_Nextera_Enrichment_[N/S/E]503	300	0.00015%
I5_Primer_Nextera_XT_Index_Kit_v2_S515	221	0.00011%
TruSeq_Adapter_Index_2	201	0.00010%
I5_Primer_Nextera_XT_and_Nextera_Enrichment_[N/S/E]501	157	0.00008%
I5_Primer_Nextera_XT_and_Nextera_Enrichment_[N/S/E]506	99	0.00005%
I5_Primer_Nextera_XT_Index_Kit_v2_S521	94	0.00005%
I5_Primer_Nextera_XT_Index_Kit_v2_S511	93	0.00005%
I5_Primer_Nextera_XT_Index_Kit_v2_S510	91	0.00005%
I5_Primer_Nextera_XT_and_Nextera_Enrichment_[N/S/E]508	86	0.00004%
I5_Primer_Nextera_XT_and_Nextera_Enrichment_[N/S/E]507	80	0.00004%
I5_Primer_Nextera_XT_and_Nextera_Enrichment_[N/S/E]505	55	0.00003%
I5_Primer_Nextera_XT_Index_Kit_v2_S516	54	0.00003%
I5_Primer_Nextera_XT_Index_Kit_v2_S522	45	0.00002%
I5_Primer_Nextera_XT_and_Nextera_Enrichment_[N/S/E]517	44	0.00002%
I5_Primer_Nextera_XT_Index_Kit_v2_S518	30	0.00002%
I5_Primer_Nextera_XT_Index_Kit_v2_S513	21	0.00001%
I5_Primer_Nextera_XT_Index_Kit_v2_S520	16	0.00001%
RNA_PCR_Primer_(RP1)_part_#_15013198	16	0.00001%
I5_Adapter_Nextera	13	0.00001%
PhiX_read1_adapter	5	0.00000%
RNA_PCR_Primer_Index_20_(RPI20)	2	0.00000%
TruSeq_Adapter_Index_3	2	0.00000%
TruSeq_Adapter_Index_9	2	0.00000%
RNA_PCR_Primer_Index_18_(RPI18)	1	0.00000%
RNA_PCR_Primer_Index_42_(RPI42)	1	0.00000%
TruSeq_Adapter_Index_13	1	0.00000%
TruSeq_Adapter_Index_18_7	1	0.00000%
TruSeq_Adapter_Index_4	1	0.00000%
