Sample	FastQC_mqc-generalstats-fastqc-percent_duplicates	FastQC_mqc-generalstats-fastqc-percent_gc	FastQC_mqc-generalstats-fastqc-avg_sequence_length	FastQC_mqc-generalstats-fastqc-percent_fails	FastQC_mqc-generalstats-fastqc-total_sequences
PDAC200Tkf_R1	44.56233832985951	47.0	75.0	0.0	82435967.0
PDAC200Tkf_R2	45.093328929484414	47.0	75.0	9.090909090909092	82435967.0
PDAC201Tkf_R1	66.6485143212048	51.0	75.0	18.181818181818183	141691555.0
PDAC201Tkf_R2	66.10178490089741	52.0	75.0	18.181818181818183	141691555.0
PDAC202Tkf_R1	59.35076405344558	48.0	75.0	9.090909090909092	109628924.0
PDAC202Tkf_R2	59.501439931910575	48.0	75.0	18.181818181818183	109628924.0
PDAC203Tkf_R1	50.45505538971513	48.0	75.0	18.181818181818183	83000378.0
PDAC203Tkf_R2	50.40772134163815	48.0	75.0	27.27272727272727	83000378.0
PDAC204Tkf_R1	57.91746353749914	49.0	75.0	18.181818181818183	96969440.0
PDAC204Tkf_R2	58.79700562140954	49.0	75.0	27.27272727272727	96969440.0
PDAC205Tkf_R1	64.1233938863414	50.0	75.0	18.181818181818183	85447009.0
PDAC205Tkf_R2	60.81453470729502	51.0	75.0	18.181818181818183	85447009.0
PDAC206Tkf_R1	72.6699284990136	51.0	75.0	9.090909090909092	171282765.0
PDAC206Tkf_R2	73.04848696652437	51.0	75.0	9.090909090909092	171282765.0
PDAC207Tkf_R1	56.88894478236127	53.0	75.0	18.181818181818183	84509032.0
PDAC207Tkf_R2	56.67545212772895	53.0	75.0	18.181818181818183	84509032.0
PDAC208Tkf_R1	62.16420579378824	50.0	75.0	18.181818181818183	100639199.0
PDAC208Tkf_R2	58.222533195404104	50.0	75.0	27.27272727272727	100639199.0
PDAC209Tkf_R1	62.96877958055656	50.0	75.0	27.27272727272727	88184233.0
PDAC209Tkf_R2	62.953744122062666	50.0	75.0	18.181818181818183	88184233.0
PDAC210Tkf_R1	60.867849745052055	49.0	75.0	18.181818181818183	73537954.0
PDAC210Tkf_R2	57.10400935502812	49.0	75.0	18.181818181818183	73537954.0
PDAC211Tkf_R1	60.651610442698136	48.0	75.0	27.27272727272727	112601544.0
PDAC211Tkf_R2	60.72992793309878	48.0	75.0	18.181818181818183	112601544.0
PDAC213Tkf_R1	70.41590915247687	53.0	75.0	18.181818181818183	129927372.0
PDAC213Tkf_R2	70.6759172404798	53.0	75.0	27.27272727272727	129927372.0
PDAC214Tkf_R1	70.36366626619326	54.0	75.0	9.090909090909092	86425860.0
PDAC214Tkf_R2	69.98494206653604	54.0	75.0	27.27272727272727	86425860.0
PDAC215Tkf_R1	67.02508023755442	54.0	75.0	18.181818181818183	128683536.0
PDAC215Tkf_R2	66.61353792960657	54.0	75.0	18.181818181818183	128683536.0
PDAC216Tkf_R1	60.47686560388391	50.0	75.0	18.181818181818183	95173815.0
PDAC216Tkf_R2	60.65780642982057	50.0	75.0	18.181818181818183	95173815.0
PDAC217Tkf_R1	71.15732085850547	55.0	75.0	9.090909090909092	89666995.0
PDAC217Tkf_R2	71.11563173861445	56.0	75.0	18.181818181818183	89666995.0
PDAC218Tkf_R1	77.91246047144368	53.0	75.0	18.181818181818183	106929149.0
PDAC218Tkf_R2	76.82868695676486	53.0	75.0	18.181818181818183	106929149.0
PDAC219Tkf_R1	59.69576698484426	51.0	75.0	18.181818181818183	105128794.0
PDAC219Tkf_R2	60.50480439018466	51.0	75.0	27.27272727272727	105128794.0
PDAC220Tkf_R1	64.99325898298301	51.0	75.0	18.181818181818183	98679036.0
PDAC220Tkf_R2	65.04476257981813	52.0	75.0	27.27272727272727	98679036.0
PDAC221Tkf_R1	68.54501705924528	52.0	75.0	27.27272727272727	88746346.0
PDAC221Tkf_R2	65.91899355446697	53.0	75.0	18.181818181818183	88746346.0
PDAC222Tkf_R1	69.12042283003028	51.0	75.0	18.181818181818183	97664268.0
PDAC222Tkf_R2	71.37953663906569	51.0	75.0	27.27272727272727	97664268.0
PDAC223Tkf_R1	65.0472900149309	52.0	75.0	18.181818181818183	102510746.0
PDAC223Tkf_R2	65.31998842660894	52.0	75.0	18.181818181818183	102510746.0
PDAC224Tkf_R1	70.00155150334768	52.0	75.0	18.181818181818183	92108774.0
PDAC224Tkf_R2	69.38227802681706	53.0	75.0	27.27272727272727	92108774.0
PDAC225Tkf_R1	59.641158784057154	50.0	75.0	18.181818181818183	93773979.0
PDAC225Tkf_R2	59.727527167689615	51.0	75.0	27.27272727272727	93773979.0
PDAC226Tkf_R1	62.71259813825976	52.0	75.0	18.181818181818183	110026787.0
PDAC226Tkf_R2	62.085998967443714	52.0	75.0	27.27272727272727	110026787.0
PDAC227Tkf_R1	72.76608971297009	54.0	75.0	9.090909090909092	81578995.0
PDAC227Tkf_R2	72.71773728883349	54.0	75.0	27.27272727272727	81578995.0
