Sample	FastQC_mqc-generalstats-fastqc-percent_duplicates	FastQC_mqc-generalstats-fastqc-percent_gc	FastQC_mqc-generalstats-fastqc-avg_sequence_length	FastQC_mqc-generalstats-fastqc-percent_fails	FastQC_mqc-generalstats-fastqc-total_sequences
PDAC200T_F8-9kf1_R1	81.34568707071197	62.0	74.97670082997453	27.27272727272727	61669965.0
PDAC200T_F8-9kf1_R2	80.81549766830194	62.0	74.97670082997453	36.36363636363637	61669965.0
PDAC200Tkf1_R1	44.60688616243089	47.0	74.98933561028377	0.0	82525585.0
PDAC200Tkf1_R2	45.12185605187965	47.0	74.98933561028377	9.090909090909092	82525585.0
PDAC201T_F8-9kf1_R1	73.06173467357605	58.0	74.98013094853012	18.181818181818183	71097858.0
PDAC201T_F8-9kf1_R2	73.94843491920918	59.0	74.98013094853012	9.090909090909092	71097858.0
PDAC201Tkf1_R1	66.95187028953958	51.0	74.98777902334463	18.181818181818183	143142324.0
PDAC201Tkf1_R2	66.37701059300016	52.0	74.98777902334463	18.181818181818183	143142324.0
PDAC202T_F8-9kf1_R1	48.381165673085505	49.0	74.98905453250057	0.0	47398615.0
PDAC202T_F8-9kf1_R2	50.73761711142362	49.0	74.98905453250057	9.090909090909092	47398615.0
PDAC202Tkf1_R1	59.542289217635414	48.0	74.99139305736382	9.090909090909092	110213236.0
PDAC202Tkf1_R2	59.65930113029042	48.0	74.99139305736382	18.181818181818183	110213236.0
PDAC203T_F8-9kf1_R1	82.98663693402341	60.0	74.98053991889242	27.27272727272727	92757784.0
PDAC203T_F8-9kf1_R2	82.41710691861564	61.0	74.98053991889242	27.27272727272727	92757784.0
PDAC203Tkf1_R1	50.66986823521624	48.0	74.98044297576732	18.181818181818183	83460141.0
PDAC203Tkf1_R2	50.59965669310386	48.0	74.98044297576732	27.27272727272727	83460141.0
PDAC204T_F8-9kf1_R1	74.37776227902856	59.0	74.97483902169334	36.36363636363637	51140897.0
PDAC204T_F8-9kf1_R2	74.28687155390955	60.0	74.97483902169334	36.36363636363637	51140897.0
PDAC204Tkf1_R1	57.92444640206086	49.0	74.98966394951718	18.181818181818183	97037355.0
PDAC204Tkf1_R2	58.80120568054896	49.0	74.98966394951718	27.27272727272727	97037355.0
PDAC205T_F8-9kf1_R1	63.898931847206214	54.0	74.9809665430038	27.27272727272727	64095503.0
PDAC205T_F8-9kf1_R2	65.61933413296157	54.0	74.9809665430038	18.181818181818183	64095503.0
