NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	DKK2	21	0.03986354544758797	0.053769212	No	
row_1	HDAC5	132	0.037309907376766205	0.011716442	No	
row_2	FRS2	516	-0.018966184929013252	-0.3441008	No	
row_3	PSMB6	573	-0.02298470214009285	-0.3579774	No	
row_4	SMAD4	605	-0.024097025394439697	-0.3441921	No	
row_5	SPRED1	676	-0.026365995407104492	-0.36600146	Yes	
row_6	PSMD1	698	-0.0272202230989933	-0.33609626	Yes	
row_7	ETV6	724	-0.028064604848623276	-0.30868727	Yes	
row_8	PSMA6	778	-0.029912307858467102	-0.30642065	Yes	
row_9	TBL1XR1	794	-0.030339878052473068	-0.26449218	Yes	
row_10	POLR2B	860	-0.032731156796216965	-0.269175	Yes	
row_11	APH1B	877	-0.03324177861213684	-0.22279175	Yes	
row_12	PSMA5	926	-0.034808628261089325	-0.20617095	Yes	
row_13	PSMA3	939	-0.035417553037405014	-0.151591	Yes	
row_14	NRAS	952	-0.03572602570056915	-0.096428804	Yes	
row_15	CHUK	958	-0.03610433638095856	-0.033395104	Yes	
row_16	RAP1A	962	-0.03665333613753319	0.032719813	Yes	
