NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	BTK	12	0.04025448113679886	0.050801724	No	
row_1	ARHGAP27	168	0.03677632287144661	-0.050819803	No	
row_2	SFN	216	0.03573114052414894	-0.043083668	No	
row_3	DLG4	240	0.035167016088962555	-0.011566309	No	
row_4	BAIAP2	459	0.02324632555246353	-0.19915634	No	
row_5	ARHGEF18	472	0.021022595465183258	-0.17851771	No	
row_6	FAM169A	498	-0.00329781137406826	-0.19903919	No	
row_7	FRS2	516	-0.018966184929013252	-0.18676457	No	
row_8	KCTD3	517	-0.018974047154188156	-0.15700586	No	
row_9	SH3RF1	575	-0.02306894026696682	-0.17940648	No	
row_10	NSL1	630	-0.0251405481249094	-0.19547476	No	
row_11	CDCA8	675	-0.02633361890912056	-0.19939435	No	
row_12	LBR	702	-0.027489138767123222	-0.18300214	No	
row_13	DYNC1LI1	787	-0.030105656012892723	-0.22211568	Yes	
row_14	ABCD3	790	-0.030277946963906288	-0.17668356	Yes	
row_15	ARHGAP11A	835	-0.03180753067135811	-0.17201792	Yes	
row_16	CEP97	875	-0.03318669646978378	-0.16005047	Yes	
row_17	IL32	907	-0.03410011902451515	-0.13842842	Yes	
row_18	NDUFA5	915	-0.03455193713307381	-0.09143176	Yes	
row_19	SNAP23	919	-0.03459591418504715	-0.04025513	Yes	
row_20	TWF1	961	-0.03662684187293053	-0.024947684	Yes	
row_21	DSG2	968	-0.03687581419944763	0.026721468	Yes	
