NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	DLG4	126	0.03983480855822563	-0.052036125	Yes	
row_1	CACNB4	132	0.03979548066854477	0.01944757	Yes	
row_2	KCNN3	219	0.03912242129445076	0.006898395	Yes	
row_3	CAMKK1	238	0.03888808935880661	0.063356854	Yes	
row_4	KCNJ14	282	0.038268011063337326	0.09308564	Yes	
row_5	ACTN2	386	0.03601391613483429	0.057189133	Yes	
row_6	CHRNA9	395	0.035722702741622925	0.11776995	Yes	
row_7	GIT1	422	0.034897930920124054	0.15837729	Yes	
row_8	CACNB1	456	0.03399994969367981	0.19010621	Yes	
row_9	CHRNG	465	0.033819105476140976	0.24702333	Yes	
row_10	NLGN4X	493	0.032968103885650635	0.28289506	Yes	
row_11	SYT7	600	0.02804839238524437	0.22860363	No	
row_12	GRIP2	646	0.025337301194667816	0.23140289	No	
row_13	GABRB2	730	0.017454130575060844	0.18021497	No	
row_14	EPB41L3	806	-1.0182720143347979E-4	0.10380215	No	
row_15	PRKACB	903	-0.021266216412186623	0.04667217	No	
row_16	GNG12	932	-0.024046262726187706	0.06435133	No	
