NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	NCKIPSD	4	0.04177028313279152	0.07302813	Yes	
row_1	BTK	22	0.04119820147752762	0.13169397	Yes	
row_2	DLG4	126	0.03983480855822563	0.099817954	Yes	
row_3	PRKCD	256	0.03871145844459534	0.03925576	Yes	
row_4	PKN3	264	0.03856644406914711	0.10329788	Yes	
row_5	ARHGAP27	265	0.03854877129197121	0.17447217	Yes	
row_6	GIT1	422	0.034897930920124054	0.07923328	Yes	
row_7	SFN	428	0.03469806909561157	0.13818014	Yes	
row_8	PAK4	483	0.03332163393497467	0.1444321	Yes	
row_9	NUDC	622	0.02695777639746666	0.052956693	Yes	
row_10	FMNL1	633	0.02614407055079937	0.09099222	Yes	
row_11	FRS3	638	0.02566566877067089	0.1342857	Yes	
row_12	SRGAP3	655	0.024387294426560402	0.16293636	Yes	
row_13	PLIN3	665	0.02346751093864441	0.19705358	Yes	
row_14	STEAP3	672	0.022941306233406067	0.23326987	Yes	
row_15	ARHGEF18	696	0.020941054448485374	0.2483928	Yes	
row_16	FAM169A	789	0.00621409947052598	0.16570036	No	
row_17	RHOJ	808	-7.870924309827387E-4	0.14872986	No	
row_18	TWF1	919	-0.022557465359568596	0.077789135	No	
